subject;age;condition;totalCases;correct_answer;mean_answer_correct;mean_response_time;median_response_time;falseAlarm;correct_rejection;miss;hit;noChangeTotal;changeTotal;falseAlarmRate;hitRate;kPashler;k;joinKey
209;old;4;65;37;0,5692308;2008,0462;1632,0;18;14;10;23;32;33;0,56250000;0,6969697;1,229437;0,5378788;2094
209;old;6;64;39;0,6093750;2084,9062;1727,5;11;21;14;18;32;32;0,34375000;0,5625000;2,000000;1,3125000;2096
209;old;8;66;39;0,5909091;2420,4848;1935,5;13;19;14;20;32;34;0,40625000;0,5882353;2,452012;1,4558824;2098
210;old;2;65;62;0,9538462; 737,1538; 674,0; 1;31; 2;31;32;33;0,03125000;0,9393939;1,874878;1,8162879;2102
210;old;4;66;58;0,8787879;1046,5606; 873,0; 8;26; 0;32;34;32;0,23529412;1,0000000;4,000000;3,0588235;2104
210;old;6;65;39;0,6000000;1037,9846; 930,0;25; 7; 1;32;32;33;0,78125000;0,9696970;5,168831;1,1306818;2106
210;old;8;64;40;0,6250000;1020,9219; 911,0;23; 9; 1;31;32;32;0,71875000;0,9687500;7,111111;2,0000000;2108
211;old;2;64;58;0,9062500;1298,5156;1175,0; 2;30; 4;28;32;32;0,06250000;0,8750000;1,733333;1,6250000;2112
211;old;4;65;46;0,7076923;1442,2769;1392,0;14;18; 5;28;32;33;0,43750000;0,8484848;2,922559;1,6439394;2114
211;old;6;64;42;0,6562500;1544,7812;1431,5;14;18; 8;24;32;32;0,43750000;0,7500000;3,333333;1,8750000;2116
211;old;8;67;35;0,5223881;1436,9552;1314,0;19;14;13;21;33;34;0,57575758;0,6176471;0,789916;0,3351159;2118
212;old;2;65;61;0,9384615;1616,3538;1403,0; 1;32; 3;29;33;32;0,03030303;0,9062500;1,806641;1,7518939;2122
212;old;4;65;48;0,7384615;2254,6154;2041,0; 7;26;10;22;33;32;0,21212121;0,6875000;2,413462;1,9015152;2124
212;old;6;64;42;0,6562500;2504,6719;2279,0; 8;24;14;18;32;32;0,25000000;0,5625000;2,500000;1,8750000;2126
212;old;8;66;41;0,6212121;2695,6061;2232,0;13;20;12;21;33;33;0,39393939;0,6363636;3,200000;1,9393939;2128
213;old;2;65;64;0,9846154; 940,1538; 827,0; 1;32; 0;32;33;32;0,03030303;1,0000000;2,000000;1,9393939;2132
213;old;4;66;49;0,7424242;1231,1970;1027,0;12;21; 5;28;33;33;0,36363636;0,8484848;3,047619;1,9393939;2134
213;old;6;65;46;0,7076923;1259,5077;1089,0;14;19; 5;27;33;32;0,42424242;0,8437500;4,371711;2,5170455;2136
213;old;8;64;36;0,5625000;1489,7188;1363,5;17;15;11;21;32;32;0,53125000;0,6562500;2,133333;1,0000000;2138
214;old;2;65;64;0,9846154;1211,4615; 998,0; 0;32; 1;32;32;33;0,00000000;0,9696970;1,939394;1,9393939;2142
214;old;4;65;36;0,5538462;1592,0308;1520,0;20;13; 9;23;33;32;0,60606061;0,7187500;1,144231;0,4507576;2144
214;old;6;65;45;0,6923077;1631,2000;1534,0; 8;25;12;20;33;32;0,24242424;0,6250000;3,030000;2,2954545;2146
214;old;8;65;41;0,6307692;1737,9538;1507,0;13;20;11;21;33;32;0,39393939;0,6562500;3,462500;2,0984848;2148
215;old;2;65;61;0,9384615; 813,5231; 729,0; 3;30; 1;31;33;32;0,09090909;0,9687500;1,931250;1,7556818;2152
215;old;4;66;50;0,7575758;1036,3485; 900,5;15;18; 1;32;33;33;0,45454545;0,9696970;3,777778;2,0606061;2154
215;old;6;65;44;0,6769231;1052,8000;1041,0;18;14; 3;30;32;33;0,56250000;0,9090909;4,753247;2,0795455;2156
215;old;8;64;42;0,6562500;1041,8906; 926,5;20;12; 2;30;32;32;0,62500000;0,9375000;6,666667;2,5000000;2158
216;old;2;65;59;0,9076923;1272,7538;1175,0; 3;30; 3;29;33;32;0,09090909;0,9062500;1,793750;1,6306818;2162
