"subject","age","setsize","totalCases","mean_answer_correct","mean_response_time","median_response_time","sum_answer_correct","sum_of_changes","sum_of_noChanges","falseAlarm","correct_rejections","miss","hit","totalOfChange","totalOfHit","falseAlarmRate","hitRate","k","kPashler","joinKey"
205,"old",2,192,0.989583333333333,1058.046875,947,190,96,96,0,96,2,94,96,96,0,0.979166666666667,1.95833333333333,1.95833333333333,"2052"
205,"old",4,192,0.848958333333333,1523.375,1137.5,163,96,96,15,81,14,82,96,96,0.15625,0.854166666666667,2.79166666666667,3.30864197530864,"2054"
205,"old",6,192,0.71875,1833.75,1341,138,96,96,36,60,18,78,96,96,0.375,0.8125,2.625,4.2,"2056"
206,"old",2,192,0.958333333333333,1435.359375,1187,184,96,96,3,93,5,91,96,96,0.03125,0.947916666666667,1.83333333333333,1.89247311827957,"2062"
206,"old",4,192,0.744791666666667,1565.31770833333,1398.5,143,96,96,22,74,27,69,96,96,0.229166666666667,0.71875,1.95833333333333,2.54054054054054,"2064"
206,"old",6,192,0.697916666666667,1629.390625,1345,134,96,96,50,46,8,88,96,96,0.520833333333333,0.916666666666667,2.375,4.95652173913043,"2066"
207,"old",2,192,0.90625,1270.21354166667,1051,174,96,96,3,93,15,81,96,96,0.03125,0.84375,1.625,1.67741935483871,"2072"
207,"old",4,192,0.796875,1522.953125,1166.5,153,96,96,22,74,17,79,96,96,0.229166666666667,0.822916666666667,2.375,3.08108108108108,"2074"
207,"old",6,192,0.682291666666667,1445.94270833333,1126.5,131,96,96,53,43,8,88,96,96,0.552083333333333,0.916666666666667,2.1875,4.88372093023256,"2076"
208,"old",2,192,0.901041666666667,1050.78645833333,968.5,173,96,96,3,93,16,80,96,96,0.03125,0.833333333333333,1.60416666666667,1.65591397849462,"2082"
208,"old",4,192,0.854166666666667,1241.61458333333,1131.5,164,96,96,6,90,22,74,96,96,0.0625,0.770833333333333,2.83333333333333,3.02222222222222,"2084"
208,"old",6,192,0.666666666666667,1156.38020833333,1082,128,96,96,33,63,31,65,96,96,0.34375,0.677083333333333,2,3.04761904761905,"2086"
209,"old",2,192,0.885416666666667,1883.640625,1354.5,170,96,96,5,91,17,79,96,96,0.0520833333333333,0.822916666666667,1.54166666666667,1.62637362637363,"2092"
209,"old",4,192,0.755208333333333,2128.00520833333,1666,145,96,96,19,77,28,68,96,96,0.197916666666667,0.708333333333333,2.04166666666667,2.54545454545455,"2094"
209,"old",6,192,0.692708333333333,2176.328125,1720.5,133,96,96,37,59,22,74,96,96,0.385416666666667,0.770833333333333,2.3125,3.76271186440678,"2096"
210,"old",2,192,0.958333333333333,863.0625,772.5,184,96,96,3,93,5,91,96,96,0.03125,0.947916666666667,1.83333333333333,1.89247311827957,"2102"
210,"old",4,192,0.828125,1060.328125,904.5,159,96,96,16,80,17,79,96,96,0.166666666666667,0.822916666666667,2.625,3.15,"2104"
210,"old",6,192,0.71875,1100.99479166667,1003.5,138,96,96,42,54,12,84,96,96,0.4375,0.875,2.625,4.66666666666667,"2106"
211,"old",2,192,0.859375,980.786458333333,888,165,96,96,3,93,24,72,96,96,0.03125,0.75,1.4375,1.48387096774194,"2112"
211,"old",4,192,0.770833333333333,1098.42708333333,1043.5,148,96,96,15,81,29,67,96,96,0.15625,0.697916666666667,2.16666666666667,2.5679012345679,"2114"
211,"old",6,192,0.588541666666667,1210.76041666667,1130.5,113,96,96,46,50,33,63,96,96,0.479166666666667,0.65625,1.0625,2.04,"2116"
212,"old",2,192,0.927083333333333,1643.28645833333,1331,178,96,96,5,91,9,87,96,96,0.0520833333333333,0.90625,1.70833333333333,1.8021978021978,"2122"
212,"old",4,192,0.791666666666667,1794.046875,1429,152,96,96,11,85,29,67,96,96,0.114583333333333,0.697916666666667,2.33333333333333,2.63529411764706,"2124"
212,"old",6,192,0.713541666666667,2185.97395833333,1708,137,96,96,20,76,35,61,96,96,0.208333333333333,0.635416666666667,2.5625,3.23684210526316,"2126"
213,"old",2,192,0.958333333333333,1113.015625,916,184,96,96,2,94,6,90,96,96,0.0208333333333333,0.9375,1.83333333333333,1.87234042553191,"2132"
213,"old",4,192,0.833333333333333,1294.58854166667,959.5,160,96,96,16,80,16,80,96,96,0.166666666666667,0.833333333333333,2.66666666666667,3.2,"2134"
213,"old",6,192,0.729166666666667,1383.15104166667,1044,140,96,96,28,68,24,72,96,96,0.291666666666667,0.75,2.75,3.88235294117647,"2136"
214,"old",2,192,0.9375,1158.609375,1033,180,96,96,7,89,5,91,96,96,0.0729166666666667,0.947916666666667,1.75,1.8876404494382,"2142"
214,"old",4,192,0.817708333333333,1445.39583333333,1283.5,157,96,96,10,86,25,71,96,96,0.104166666666667,0.739583333333333,2.54166666666667,2.83720930232558,"2144"
214,"old",6,192,0.651041666666667,1620.43229166667,1437.5,125,96,96,19,77,48,48,96,96,0.197916666666667,0.5,1.8125,2.25974025974026,"2146"
215,"old",2,192,0.916666666666667,943.463541666667,874.5,176,96,96,2,94,14,82,96,96,0.0208333333333333,0.854166666666667,1.66666666666667,1.70212765957447,"2152"
215,"old",4,192,0.807291666666667,1075.69791666667,997.5,155,96,96,10,86,27,69,96,96,0.104166666666667,0.71875,2.45833333333333,2.74418604651163,"2154"
215,"old",6,192,0.6875,1151.5,1043,132,96,96,25,71,35,61,96,96,0.260416666666667,0.635416666666667,2.25,3.04225352112676,"2156"
216,"old",2,192,0.859375,1021.61979166667,966,165,96,96,1,95,26,70,96,96,0.0104166666666667,0.729166666666667,1.4375,1.45263157894737,"2162"
216,"old",4,192,0.760416666666667,1170.19791666667,1021,146,96,96,11,85,35,61,96,96,0.114583333333333,0.635416666666667,2.08333333333333,2.35294117647059,"2164"
216,"old",6,192,0.671875,1299.640625,1137.5,129,96,96,26,70,37,59,96,96,0.270833333333333,0.614583333333333,2.0625,2.82857142857143,"2166"
217,"old",2,192,0.90625,1039.83854166667,1005.5,174,96,96,2,94,16,80,96,96,0.0208333333333333,0.833333333333333,1.625,1.65957446808511,"2172"
217,"old",4,192,0.770833333333333,1189.26041666667,1115.5,148,96,96,22,74,22,74,96,96,0.229166666666667,0.770833333333333,2.16666666666667,2.81081081081081,"2174"
217,"old",6,192,0.729166666666667,1176.97916666667,1146.5,140,96,96,27,69,25,71,96,96,0.28125,0.739583333333333,2.75,3.82608695652174,"2176"
218,"old",2,192,0.927083333333333,2072.33333333333,1728.5,178,96,96,5,91,9,87,96,96,0.0520833333333333,0.90625,1.70833333333333,1.8021978021978,"2182"
218,"old",4,192,0.8125,2443.50520833333,1972.5,156,96,96,28,68,8,88,96,96,0.291666666666667,0.916666666666667,2.5,3.52941176470588,"2184"
218,"old",6,192,0.713541666666667,2385.515625,1967.5,137,96,96,45,51,10,86,96,96,0.46875,0.895833333333333,2.5625,4.82352941176471,"2186"
219,"old",2,192,0.947916666666667,1221.67708333333,1010.5,182,96,96,0,96,10,86,96,96,0,0.895833333333333,1.79166666666667,1.79166666666667,"2192"
219,"old",4,192,0.828125,1381.08333333333,1094.5,159,96,96,4,92,29,67,96,96,0.0416666666666667,0.697916666666667,2.625,2.73913043478261,"2194"
219,"old",6,192,0.734375,1301.60416666667,1125.5,141,96,96,11,85,40,56,96,96,0.114583333333333,0.583333333333333,2.8125,3.17647058823529,"2196"
220,"old",2,192,0.942708333333333,1710.28125,1485.5,181,96,96,1,95,10,86,96,96,0.0104166666666667,0.895833333333333,1.77083333333333,1.78947368421053,"2202"
220,"old",4,192,0.78125,1813.20833333333,1546.5,150,96,96,22,74,20,76,96,96,0.229166666666667,0.791666666666667,2.25,2.91891891891892,"2204"
220,"old",6,192,0.692708333333333,1913.546875,1657,133,96,96,38,58,21,75,96,96,0.395833333333333,0.78125,2.3125,3.82758620689655,"2206"
